,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As at 30 June 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL,,,,,,,,,,,,,,,,,
NSW," 14,620 "," 128,303 "," 406,565 "," 407,458 "," 426,378 "," 429,784 "," 439,854 "," 456,623 "," 438,258 "," 446,257 "," 401,925 "," 365,711 "," 807,574 "," 5,169,310 ",,,,,,,,,,,,,,,,,
Banks, 324 ," 2,650 "," 8,314 "," 8,054 "," 8,264 "," 8,583 "," 8,788 "," 9,327 "," 9,333 "," 9,409 "," 8,008 "," 6,838 "," 17,188 "," 105,080 ",,,,,,,,,,,,,,,,,
Female, 162 ," 1,338 "," 4,079 "," 3,986 "," 4,098 "," 4,359 "," 4,557 "," 4,900 "," 4,821 "," 4,751 "," 4,092 "," 3,537 "," 9,716 "," 54,396 ",,,,,,,,,,,,,,,,,
Male, 162 ," 1,312 "," 4,234 "," 4,068 "," 4,165 "," 4,224 "," 4,231 "," 4,427 "," 4,512 "," 4,658 "," 3,916 "," 3,301 "," 7,472 "," 50,682 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Barton, 267 ," 2,327 "," 8,182 "," 9,011 "," 10,556 "," 10,033 "," 9,939 "," 9,946 "," 9,375 "," 8,499 "," 7,523 "," 6,697 "," 16,528 "," 108,883 ",,,,,,,,,,,,,,,,,
Female, 129 ," 1,154 "," 4,032 "," 4,506 "," 5,262 "," 4,900 "," 4,968 "," 5,076 "," 4,771 "," 4,342 "," 3,851 "," 3,428 "," 8,876 "," 55,295 ",,,,,,,,,,,,,,,,,
Male, 138 ," 1,173 "," 4,150 "," 4,503 "," 5,292 "," 5,133 "," 4,971 "," 4,870 "," 4,604 "," 4,157 "," 3,672 "," 3,269 "," 7,651 "," 53,583 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 2 , 2 , - , - , - , - , - , - , - , 1 , 5 ,,,,,,,,,,,,,,,,,
Bennelong, 382 ," 2,584 "," 8,676 "," 8,277 "," 8,935 "," 9,443 "," 9,109 "," 9,486 "," 9,560 "," 8,962 "," 7,946 "," 6,632 "," 15,964 "," 105,956 ",,,,,,,,,,,,,,,,,
Female, 203 ," 1,230 "," 4,219 "," 3,969 "," 4,400 "," 4,671 "," 4,643 "," 5,012 "," 4,901 "," 4,595 "," 4,115 "," 3,365 "," 9,024 "," 54,347 ",,,,,,,,,,,,,,,,,
Male, 179 ," 1,352 "," 4,456 "," 4,307 "," 4,534 "," 4,771 "," 4,466 "," 4,473 "," 4,658 "," 4,367 "," 3,831 "," 3,266 "," 6,940 "," 51,600 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , 1 , 1 , 1 , 1 , - , 1 , 1 , - , - , 1 , - , 9 ,,,,,,,,,,,,,,,,,
Berowra, 529 ," 3,347 "," 9,366 "," 6,842 "," 5,882 "," 7,343 "," 9,173 "," 10,264 "," 10,148 "," 10,129 "," 8,556 "," 7,364 "," 16,316 "," 105,259 ",,,,,,,,,,,,,,,,,
Female, 261 ," 1,631 "," 4,507 "," 3,264 "," 2,937 "," 3,878 "," 4,778 "," 5,438 "," 5,277 "," 5,184 "," 4,334 "," 3,728 "," 8,788 "," 54,005 ",,,,,,,,,,,,,,,,,
Male, 268 ," 1,716 "," 4,858 "," 3,578 "," 2,945 "," 3,465 "," 4,394 "," 4,826 "," 4,871 "," 4,945 "," 4,221 "," 3,636 "," 7,528 "," 51,251 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , 1 , - , - , - , 1 , - , - , 3 ,,,,,,,,,,,,,,,,,
Blaxland, 269 ," 2,993 "," 9,833 "," 9,447 "," 9,671 "," 9,163 "," 8,813 "," 8,950 "," 8,811 "," 8,837 "," 7,554 "," 6,209 "," 14,011 "," 104,561 ",,,,,,,,,,,,,,,,,
Female, 134 ," 1,487 "," 4,880 "," 4,783 "," 4,888 "," 4,507 "," 4,384 "," 4,526 "," 4,310 "," 4,379 "," 3,782 "," 3,079 "," 7,469 "," 52,608 ",,,,,,,,,,,,,,,,,
Male, 135 ," 1,506 "," 4,952 "," 4,664 "," 4,783 "," 4,656 "," 4,429 "," 4,424 "," 4,501 "," 4,458 "," 3,772 "," 3,130 "," 6,541 "," 51,951 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , 1 , 2 ,,,,,,,,,,,,,,,,,
Bradfield, 531 ," 3,371 "," 8,672 "," 6,579 "," 6,425 "," 8,044 "," 9,209 "," 10,669 "," 10,107 "," 9,271 "," 7,447 "," 6,890 "," 18,867 "," 106,082 ",,,,,,,,,,,,,,,,,
Female, 276 ," 1,685 "," 4,292 "," 3,178 "," 3,287 "," 4,202 "," 4,814 "," 5,673 "," 5,241 "," 4,706 "," 3,847 "," 3,665 "," 10,493 "," 55,359 ",,,,,,,,,,,,,,,,,
Male, 255 ," 1,686 "," 4,378 "," 3,400 "," 3,138 "," 3,842 "," 4,394 "," 4,995 "," 4,865 "," 4,565 "," 3,600 "," 3,225 "," 8,374 "," 50,717 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , 1 , - , - , 1 , 1 , 1 , - , - , - , - , 6 ,,,,,,,,,,,,,,,,,
Calare, 336 ," 3,022 "," 8,959 "," 8,853 "," 8,763 "," 8,351 "," 8,943 "," 9,913 "," 9,713 "," 10,389 "," 9,316 "," 9,041 "," 19,667 "," 115,266 ",,,,,,,,,,,,,,,,,
Female, 187 ," 1,497 "," 4,474 "," 4,455 "," 4,425 "," 4,234 "," 4,548 "," 5,030 "," 4,943 "," 5,179 "," 4,708 "," 4,519 "," 10,619 "," 58,818 ",,,,,,,,,,,,,,,,,
Male, 149 ," 1,525 "," 4,484 "," 4,398 "," 4,338 "," 4,117 "," 4,395 "," 4,883 "," 4,769 "," 5,210 "," 4,608 "," 4,521 "," 9,048 "," 56,445 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , 1 , - , - , 1 , - , 3 ,,,,,,,,,,,,,,,,,
Chifley, 294 ," 3,337 "," 11,008 "," 10,294 "," 10,664 "," 10,393 "," 9,606 "," 9,601 "," 8,980 "," 8,599 "," 7,345 "," 6,417 "," 11,133 "," 107,671 ",,,,,,,,,,,,,,,,,
Female, 149 ," 1,638 "," 5,533 "," 5,192 "," 5,416 "," 5,145 "," 4,845 "," 4,841 "," 4,553 "," 4,311 "," 3,815 "," 3,308 "," 6,146 "," 54,892 ",,,,,,,,,,,,,,,,,
Male, 145 ," 1,699 "," 5,472 "," 5,101 "," 5,248 "," 5,248 "," 4,760 "," 4,759 "," 4,426 "," 4,288 "," 3,529 "," 3,109 "," 4,987 "," 52,771 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 3 , 1 , - , - , 1 , 1 , 1 , - , 1 , - , - , 8 ,,,,,,,,,,,,,,,,,
Cook, 356 ," 2,482 "," 7,688 "," 7,814 "," 7,785 "," 8,010 "," 8,955 "," 9,684 "," 8,986 "," 8,896 "," 7,906 "," 7,220 "," 19,240 "," 105,022 ",,,,,,,,,,,,,,,,,
Female, 164 ," 1,216 "," 3,861 "," 3,961 "," 3,975 "," 4,080 "," 4,593 "," 4,926 "," 4,576 "," 4,534 "," 4,106 "," 3,777 "," 10,809 "," 54,578 ",,,,,,,,,,,,,,,,,
Male, 192 ," 1,265 "," 3,827 "," 3,853 "," 3,809 "," 3,929 "," 4,362 "," 4,758 "," 4,410 "," 4,362 "," 3,800 "," 3,443 "," 8,431 "," 50,441 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , - , - , 1 , 1 , - , - , - , - , - , - , - , 3 ,,,,,,,,,,,,,,,,,
Cowper, 291 ," 2,729 "," 7,689 "," 7,340 "," 7,129 "," 7,251 "," 8,235 "," 9,478 "," 9,825 "," 11,524 "," 11,555 "," 11,340 "," 26,662 "," 121,048 ",,,,,,,,,,,,,,,,,
Female, 155 ," 1,360 "," 3,811 "," 3,656 "," 3,685 "," 3,744 "," 4,312 "," 4,932 "," 5,181 "," 6,153 "," 5,921 "," 5,771 "," 14,460 "," 63,141 ",,,,,,,,,,,,,,,,,
Male, 136 ," 1,367 "," 3,878 "," 3,684 "," 3,444 "," 3,506 "," 3,923 "," 4,546 "," 4,644 "," 5,371 "," 5,634 "," 5,569 "," 12,202 "," 57,904 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , - , - , - , 1 , - , - , - , - , - , - , - , 3 ,,,,,,,,,,,,,,,,,
Cunningham, 335 ," 2,925 "," 10,418 "," 9,350 "," 8,739 "," 8,702 "," 9,471 "," 9,530 "," 9,471 "," 9,699 "," 8,439 "," 7,339 "," 18,432 "," 112,850 ",,,,,,,,,,,,,,,,,
Female, 182 ," 1,416 "," 5,152 "," 4,564 "," 4,380 "," 4,344 "," 4,771 "," 4,806 "," 4,761 "," 4,898 "," 4,364 "," 3,780 "," 10,257 "," 57,675 ",,,,,,,,,,,,,,,,,
Male, 153 ," 1,509 "," 5,262 "," 4,782 "," 4,359 "," 4,358 "," 4,700 "," 4,724 "," 4,710 "," 4,801 "," 4,075 "," 3,559 "," 8,175 "," 55,167 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 4 , 4 , - , - , - , - , - , - , - , - , - , 8 ,,,,,,,,,,,,,,,,,
Dobell, 267 ," 3,078 "," 9,487 "," 8,781 "," 8,658 "," 8,579 "," 9,005 "," 9,775 "," 9,277 "," 9,604 "," 8,880 "," 8,401 "," 20,584 "," 114,376 ",,,,,,,,,,,,,,,,,
Female, 128 ," 1,534 "," 4,729 "," 4,404 "," 4,377 "," 4,317 "," 4,619 "," 5,032 "," 4,737 "," 5,024 "," 4,673 "," 4,477 "," 11,630 "," 59,681 ",,,,,,,,,,,,,,,,,
Male, 139 ," 1,544 "," 4,758 "," 4,377 "," 4,281 "," 4,261 "," 4,386 "," 4,743 "," 4,540 "," 4,580 "," 4,207 "," 3,924 "," 8,954 "," 54,694 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , 1 , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Eden-Monaro, 270 ," 2,462 "," 6,968 "," 7,037 "," 7,501 "," 7,630 "," 8,879 "," 10,352 "," 10,261 "," 11,061 "," 10,383 "," 9,254 "," 17,836 "," 109,894 ",,,,,,,,,,,,,,,,,
Female, 150 ," 1,255 "," 3,500 "," 3,462 "," 3,853 "," 3,967 "," 4,483 "," 5,328 "," 5,145 "," 5,566 "," 5,147 "," 4,551 "," 9,245 "," 55,652 ",,,,,,,,,,,,,,,,,
Male, 120 ," 1,205 "," 3,468 "," 3,575 "," 3,648 "," 3,663 "," 4,396 "," 5,023 "," 5,115 "," 5,495 "," 5,236 "," 4,703 "," 8,591 "," 54,238 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , - , - , - , - , - , 1 , 1 , - , - , - , - , 4 ,,,,,,,,,,,,,,,,,
Farrer, 294 ," 2,796 "," 8,652 "," 7,617 "," 7,411 "," 7,655 "," 8,322 "," 9,255 "," 9,548 "," 10,646 "," 10,005 "," 9,366 "," 21,860 "," 113,427 ",,,,,,,,,,,,,,,,,
Female, 156 ," 1,426 "," 4,180 "," 3,789 "," 3,749 "," 3,914 "," 4,305 "," 4,707 "," 4,924 "," 5,332 "," 5,025 "," 4,609 "," 11,691 "," 57,807 ",,,,,,,,,,,,,,,,,
Male, 138 ," 1,370 "," 4,472 "," 3,828 "," 3,662 "," 3,741 "," 4,017 "," 4,548 "," 4,624 "," 5,314 "," 4,980 "," 4,757 "," 10,169 "," 55,620 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,
Fowler, 317 ," 2,734 "," 9,984 "," 9,089 "," 8,611 "," 8,322 "," 8,608 "," 9,397 "," 9,453 "," 10,002 "," 8,859 "," 7,331 "," 13,576 "," 106,283 ",,,,,,,,,,,,,,,,,
Female, 174 ," 1,391 "," 4,839 "," 4,498 "," 4,379 "," 4,291 "," 4,471 "," 4,842 "," 4,662 "," 4,946 "," 4,613 "," 3,716 "," 7,168 "," 53,990 ",,,,,,,,,,,,,,,,,
Male, 143 ," 1,343 "," 5,144 "," 4,591 "," 4,232 "," 4,030 "," 4,136 "," 4,554 "," 4,791 "," 5,056 "," 4,246 "," 3,615 "," 6,408 "," 52,289 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , 1 , 1 , 1 , - , - , - , - , - , 4 ,,,,,,,,,,,,,,,,,
Gilmore, 213 ," 2,451 "," 7,311 "," 6,781 "," 6,757 "," 6,714 "," 7,637 "," 8,654 "," 9,172 "," 11,416 "," 11,926 "," 12,342 "," 27,305 "," 118,679 ",,,,,,,,,,,,,,,,,
Female, 103 ," 1,230 "," 3,523 "," 3,324 "," 3,352 "," 3,377 "," 3,879 "," 4,415 "," 4,759 "," 5,935 "," 6,133 "," 6,276 "," 14,306 "," 60,612 ",,,,,,,,,,,,,,,,,
Male, 110 ," 1,220 "," 3,787 "," 3,457 "," 3,404 "," 3,337 "," 3,758 "," 4,239 "," 4,413 "," 5,481 "," 5,793 "," 6,066 "," 12,998 "," 58,063 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , 1 , 4 ,,,,,,,,,,,,,,,,,
Grayndler, 146 ," 1,428 "," 7,119 "," 11,137 "," 12,100 "," 12,049 "," 11,465 "," 10,657 "," 8,867 "," 7,797 "," 6,588 "," 5,772 "," 11,375 "," 106,500 ",,,,,,,,,,,,,,,,,
Female, 76 , 744 ," 3,736 "," 5,746 "," 6,264 "," 6,283 "," 5,918 "," 5,426 "," 4,467 "," 4,041 "," 3,455 "," 3,052 "," 6,199 "," 55,407 ",,,,,,,,,,,,,,,,,
Male, 70 , 684 ," 3,379 "," 5,383 "," 5,831 "," 5,761 "," 5,546 "," 5,230 "," 4,398 "," 3,755 "," 3,133 "," 2,719 "," 5,175 "," 51,064 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 4 , 8 , 5 , 5 , 1 , 1 , 2 , 1 , - , 1 , 1 , 29 ,,,,,,,,,,,,,,,,,
Greenway, 356 ," 3,048 "," 8,962 "," 8,695 "," 11,264 "," 12,968 "," 11,738 "," 10,266 "," 8,792 "," 8,206 "," 6,957 "," 5,825 "," 10,187 "," 107,264 ",,,,,,,,,,,,,,,,,
Female, 191 ," 1,462 "," 4,426 "," 4,273 "," 5,750 "," 6,466 "," 5,718 "," 5,199 "," 4,331 "," 4,119 "," 3,577 "," 3,020 "," 5,488 "," 54,020 ",,,,,,,,,,,,,,,,,
Male, 164 ," 1,585 "," 4,534 "," 4,421 "," 5,514 "," 6,502 "," 6,020 "," 5,067 "," 4,460 "," 4,087 "," 3,380 "," 2,805 "," 4,699 "," 53,238 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, 1 , 1 , 2 , 1 , - , - , - , - , 1 , - , - , - , - , 6 ,,,,,,,,,,,,,,,,,
Hughes, 406 ," 2,970 "," 8,719 "," 8,267 "," 8,512 "," 9,225 "," 10,000 "," 10,089 "," 9,220 "," 9,137 "," 8,005 "," 6,809 "," 13,683 "," 105,042 ",,,,,,,,,,,,,,,,,
Female, 193 ," 1,428 "," 4,240 "," 4,099 "," 4,365 "," 4,724 "," 5,087 "," 5,231 "," 4,684 "," 4,715 "," 4,064 "," 3,445 "," 7,396 "," 53,671 ",,,,,,,,,,,,,,,,,
Male, 213 ," 1,541 "," 4,478 "," 4,168 "," 4,147 "," 4,501 "," 4,913 "," 4,858 "," 4,536 "," 4,422 "," 3,941 "," 3,364 "," 6,287 "," 51,369 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Hume, 383 ," 3,121 "," 9,006 "," 8,982 "," 9,219 "," 8,942 "," 9,758 "," 10,234 "," 9,656 "," 9,614 "," 8,582 "," 8,002 "," 15,131 "," 110,630 ",,,,,,,,,,,,,,,,,
Female, 204 ," 1,564 "," 4,457 "," 4,545 "," 4,685 "," 4,506 "," 5,016 "," 5,212 "," 4,908 "," 4,882 "," 4,367 "," 4,047 "," 8,019 "," 56,412 ",,,,,,,,,,,,,,,,,
Male, 179 ," 1,557 "," 4,547 "," 4,437 "," 4,534 "," 4,435 "," 4,741 "," 5,022 "," 4,748 "," 4,732 "," 4,215 "," 3,954 "," 7,111 "," 54,212 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , - , - , 1 , 1 , - , - , - , - , 1 , 1 , 6 ,,,,,,,,,,,,,,,,,
Hunter, 323 ," 3,085 "," 9,497 "," 9,397 "," 9,558 "," 8,917 "," 9,327 "," 9,977 "," 9,607 "," 10,173 "," 9,459 "," 8,813 "," 18,789 "," 116,922 ",,,,,,,,,,,,,,,,,
Female, 167 ," 1,562 "," 4,632 "," 4,724 "," 4,781 "," 4,460 "," 4,698 "," 4,972 "," 4,840 "," 5,095 "," 4,905 "," 4,485 "," 10,141 "," 59,462 ",,,,,,,,,,,,,,,,,
Male, 156 ," 1,523 "," 4,864 "," 4,672 "," 4,777 "," 4,457 "," 4,629 "," 5,005 "," 4,767 "," 5,078 "," 4,554 "," 4,328 "," 8,648 "," 57,458 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Kingsford Smith, 268 ," 2,344 "," 8,387 "," 9,660 "," 10,568 "," 10,858 "," 10,488 "," 10,178 "," 9,099 "," 8,291 "," 7,133 "," 6,389 "," 16,340 "," 110,003 ",,,,,,,,,,,,,,,,,
Female, 151 ," 1,164 "," 4,189 "," 4,801 "," 5,351 "," 5,608 "," 5,330 "," 5,265 "," 4,663 "," 4,218 "," 3,741 "," 3,389 "," 9,215 "," 57,085 ",,,,,,,,,,,,,,,,,
Male, 117 ," 1,178 "," 4,197 "," 4,858 "," 5,215 "," 5,247 "," 5,156 "," 4,909 "," 4,435 "," 4,073 "," 3,391 "," 2,999 "," 7,123 "," 52,898 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , 1 , 1 , 2 , 3 , 2 , 4 , 1 , - , 1 , 1 , 2 , 20 ,,,,,,,,,,,,,,,,,
Lindsay, 306 ," 3,135 "," 10,943 "," 11,415 "," 11,758 "," 10,896 "," 10,475 "," 9,822 "," 8,898 "," 8,941 "," 7,977 "," 7,163 "," 12,265 "," 113,994 ",,,,,,,,,,,,,,,,,
Female, 145 ," 1,572 "," 5,545 "," 5,856 "," 5,956 "," 5,438 "," 5,232 "," 5,013 "," 4,531 "," 4,657 "," 4,206 "," 3,631 "," 6,666 "," 58,448 ",,,,,,,,,,,,,,,,,
Male, 160 ," 1,563 "," 5,396 "," 5,558 "," 5,801 "," 5,458 "," 5,242 "," 4,809 "," 4,366 "," 4,284 "," 3,771 "," 3,532 "," 5,599 "," 55,539 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, 1 , - , 2 , 1 , 1 , - , 1 , - , 1 , - , - , - , - , 7 ,,,,,,,,,,,,,,,,,
Lyne, 274 ," 2,491 "," 6,418 "," 5,664 "," 5,748 "," 6,068 "," 7,339 "," 8,637 "," 9,283 "," 10,982 "," 11,512 "," 12,179 "," 27,613 "," 114,208 ",,,,,,,,,,,,,,,,,
Female, 162 ," 1,219 "," 3,148 "," 2,860 "," 2,957 "," 3,096 "," 3,807 "," 4,470 "," 4,814 "," 5,722 "," 5,867 "," 6,140 "," 14,297 "," 58,559 ",,,,,,,,,,,,,,,,,
Male, 112 ," 1,272 "," 3,269 "," 2,804 "," 2,791 "," 2,972 "," 3,532 "," 4,167 "," 4,469 "," 5,260 "," 5,645 "," 6,039 "," 13,316 "," 55,648 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Macarthur, 318 ," 3,309 "," 10,825 "," 10,859 "," 11,246 "," 10,394 "," 9,797 "," 9,102 "," 8,974 "," 9,285 "," 8,191 "," 6,980 "," 10,740 "," 110,020 ",,,,,,,,,,,,,,,,,
Female, 174 ," 1,639 "," 5,440 "," 5,525 "," 5,781 "," 5,275 "," 4,897 "," 4,640 "," 4,667 "," 4,774 "," 4,241 "," 3,638 "," 5,735 "," 56,426 ",,,,,,,,,,,,,,,,,
Male, 144 ," 1,670 "," 5,385 "," 5,333 "," 5,465 "," 5,119 "," 4,899 "," 4,462 "," 4,307 "," 4,511 "," 3,950 "," 3,342 "," 5,005 "," 53,592 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Mackellar, 427 ," 2,686 "," 7,911 "," 6,726 "," 6,997 "," 8,361 "," 10,069 "," 10,769 "," 9,944 "," 9,517 "," 8,319 "," 7,755 "," 19,737 "," 109,218 ",,,,,,,,,,,,,,,,,
Female, 224 ," 1,299 "," 3,778 "," 3,223 "," 3,653 "," 4,289 "," 5,218 "," 5,543 "," 5,072 "," 4,848 "," 4,337 "," 4,053 "," 10,901 "," 56,438 ",,,,,,,,,,,,,,,,,
Male, 203 ," 1,387 "," 4,132 "," 3,503 "," 3,344 "," 4,072 "," 4,851 "," 5,226 "," 4,872 "," 4,669 "," 3,982 "," 3,702 "," 8,836 "," 52,779 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Macquarie, 289 ," 2,817 "," 8,497 "," 7,782 "," 7,627 "," 7,968 "," 8,914 "," 10,062 "," 9,495 "," 10,055 "," 9,047 "," 8,336 "," 15,440 "," 106,329 ",,,,,,,,,,,,,,,,,
Female, 163 ," 1,376 "," 4,128 "," 3,848 "," 3,790 "," 4,053 "," 4,647 "," 5,248 "," 4,871 "," 5,218 "," 4,647 "," 4,326 "," 8,518 "," 54,833 ",,,,,,,,,,,,,,,,,
Male, 126 ," 1,440 "," 4,367 "," 3,934 "," 3,836 "," 3,914 "," 4,267 "," 4,814 "," 4,624 "," 4,837 "," 4,400 "," 4,008 "," 6,922 "," 51,489 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 2 , - , 1 , 1 , - , - , - , - , - , 2 , - , 7 ,,,,,,,,,,,,,,,,,
McMahon, 311 ," 2,976 "," 9,943 "," 9,778 "," 9,641 "," 9,651 "," 8,988 "," 9,108 "," 9,219 "," 9,231 "," 7,935 "," 6,913 "," 13,570 "," 107,264 ",,,,,,,,,,,,,,,,,
Female, 166 ," 1,519 "," 4,939 "," 4,965 "," 4,989 "," 4,905 "," 4,477 "," 4,632 "," 4,696 "," 4,675 "," 4,040 "," 3,503 "," 7,283 "," 54,789 ",,,,,,,,,,,,,,,,,
Male, 145 ," 1,457 "," 5,004 "," 4,812 "," 4,651 "," 4,746 "," 4,511 "," 4,476 "," 4,522 "," 4,556 "," 3,895 "," 3,410 "," 6,287 "," 52,472 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 1 , 1 , - , - , - , 1 , - , - , - , - , 3 ,,,,,,,,,,,,,,,,,
Mitchell, 466 ," 3,110 "," 8,907 "," 7,110 "," 7,727 "," 9,808 "," 10,942 "," 11,022 "," 9,416 "," 8,630 "," 7,543 "," 6,904 "," 13,568 "," 105,153 ",,,,,,,,,,,,,,,,,
Female, 246 ," 1,559 "," 4,287 "," 3,468 "," 3,978 "," 5,117 "," 5,655 "," 5,749 "," 4,753 "," 4,356 "," 3,895 "," 3,650 "," 7,241 "," 53,954 ",,,,,,,,,,,,,,,,,
Male, 220 ," 1,551 "," 4,619 "," 3,642 "," 3,749 "," 4,691 "," 5,287 "," 5,272 "," 4,663 "," 4,274 "," 3,648 "," 3,254 "," 6,327 "," 51,197 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
New England, 309 ," 2,951 "," 8,520 "," 7,896 "," 7,713 "," 7,420 "," 8,103 "," 9,055 "," 9,204 "," 10,229 "," 9,684 "," 9,048 "," 20,638 "," 110,770 ",,,,,,,,,,,,,,,,,
Female, 160 ," 1,488 "," 4,276 "," 3,933 "," 3,934 "," 3,833 "," 4,141 "," 4,688 "," 4,699 "," 5,316 "," 4,792 "," 4,531 "," 11,223 "," 57,014 ",,,,,,,,,,,,,,,,,
Male, 149 ," 1,463 "," 4,244 "," 3,963 "," 3,779 "," 3,587 "," 3,962 "," 4,367 "," 4,505 "," 4,913 "," 4,892 "," 4,517 "," 9,415 "," 53,756 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,
Newcastle, 293 ," 2,707 "," 11,444 "," 11,452 "," 10,341 "," 9,464 "," 9,274 "," 9,595 "," 9,174 "," 9,460 "," 8,421 "," 7,028 "," 16,082 "," 114,735 ",,,,,,,,,,,,,,,,,
Female, 145 ," 1,334 "," 5,723 "," 5,519 "," 5,050 "," 4,707 "," 4,680 "," 4,872 "," 4,690 "," 4,848 "," 4,262 "," 3,571 "," 9,103 "," 58,504 ",,,,,,,,,,,,,,,,,
Male, 148 ," 1,373 "," 5,720 "," 5,933 "," 5,291 "," 4,757 "," 4,594 "," 4,723 "," 4,484 "," 4,612 "," 4,159 "," 3,457 "," 6,979 "," 56,230 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
North Sydney, 316 ," 2,041 "," 6,885 "," 8,859 "," 10,639 "," 11,094 "," 10,462 "," 9,875 "," 8,826 "," 8,320 "," 7,519 "," 6,972 "," 15,474 "," 107,282 ",,,,,,,,,,,,,,,,,
Female, 165 , 987 ," 3,439 "," 4,534 "," 5,441 "," 5,658 "," 5,337 "," 5,192 "," 4,558 "," 4,368 "," 4,009 "," 3,715 "," 8,678 "," 56,081 ",,,,,,,,,,,,,,,,,
Male, 151 ," 1,054 "," 3,445 "," 4,325 "," 5,197 "," 5,435 "," 5,124 "," 4,683 "," 4,268 "," 3,952 "," 3,510 "," 3,257 "," 6,795 "," 51,196 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , 1 , 1 , 1 , - , - , - , - , - , 1 , 5 ,,,,,,,,,,,,,,,,,
