,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As at 30 June 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL,,,,,,,,,,,,,,,,,
Female, 109 , 830 ," 2,526 "," 2,578 "," 3,034 "," 3,119 "," 3,204 "," 3,557 "," 3,515 "," 3,935 "," 3,718 "," 3,442 "," 7,409 "," 40,976 ",,,,,,,,,,,,,,,,,
Male, 99 , 804 ," 2,562 "," 2,472 "," 2,659 "," 2,706 "," 2,909 "," 3,259 "," 3,062 "," 3,529 "," 3,425 "," 3,218 "," 6,187 "," 36,891 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Lyons, 180 ," 1,428 "," 4,911 "," 4,569 "," 4,780 "," 4,920 "," 5,634 "," 6,694 "," 7,114 "," 8,225 "," 7,933 "," 7,824 "," 13,647 "," 77,859 ",,,,,,,,,,,,,,,,,
Female, 97 , 725 ," 2,445 "," 2,338 "," 2,484 "," 2,552 "," 2,903 "," 3,435 "," 3,635 "," 4,115 "," 3,994 "," 3,794 "," 6,824 "," 39,341 ",,,,,,,,,,,,,,,,,
Male, 83 , 703 ," 2,466 "," 2,231 "," 2,296 "," 2,368 "," 2,731 "," 3,259 "," 3,479 "," 4,110 "," 3,939 "," 4,030 "," 6,823 "," 38,518 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,
 ACT , 956 ," 7,348 "," 25,019 "," 27,205 "," 29,153 "," 28,182 "," 26,496 "," 26,072 "," 23,353 "," 22,335 "," 19,023 "," 17,300 "," 33,296 "," 285,738 ",,,,,,,,,,,,,,,,,
Canberra, 476 ," 3,932 "," 12,570 "," 12,865 "," 12,914 "," 12,144 "," 12,023 "," 13,050 "," 12,663 "," 12,575 "," 10,589 "," 9,617 "," 18,970 "," 144,388 ",,,,,,,,,,,,,,,,,
Female, 248 ," 1,982 "," 6,114 "," 6,395 "," 6,389 "," 6,158 "," 6,130 "," 6,703 "," 6,659 "," 6,472 "," 5,458 "," 4,991 "," 10,492 "," 74,191 ",,,,,,,,,,,,,,,,,
Male, 228 ," 1,949 "," 6,450 "," 6,467 "," 6,523 "," 5,984 "," 5,892 "," 6,347 "," 6,002 "," 6,103 "," 5,131 "," 4,626 "," 8,477 "," 70,179 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 6 , 3 , 2 , 2 , 1 , - , 2 , - , - , - , 1 , 18 ,,,,,,,,,,,,,,,,,
Fenner, 480 ," 3,416 "," 12,449 "," 14,340 "," 16,239 "," 16,038 "," 14,473 "," 13,022 "," 10,690 "," 9,760 "," 8,434 "," 7,683 "," 14,326 "," 141,350 ",,,,,,,,,,,,,,,,,
Female, 265 ," 1,727 "," 6,311 "," 7,277 "," 8,319 "," 8,005 "," 7,203 "," 6,463 "," 5,425 "," 5,028 "," 4,472 "," 4,123 "," 7,800 "," 72,418 ",,,,,,,,,,,,,,,,,
Male, 215 ," 1,686 "," 6,137 "," 7,061 "," 7,920 "," 8,033 "," 7,270 "," 6,559 "," 5,263 "," 4,732 "," 3,962 "," 3,560 "," 6,525 "," 68,923 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 3 , 1 , 2 , - , - , - , - , 2 , - , - , - , 1 , 9 ,,,,,,,,,,,,,,,,,
 NT , 82 ," 2,369 "," 11,628 "," 15,381 "," 16,196 "," 14,731 "," 13,851 "," 14,162 "," 12,992 "," 11,598 "," 9,363 "," 6,761 "," 8,741 "," 137,855 ",,,,,,,,,,,,,,,,,
Lingiari, 37 ," 1,017 "," 5,796 "," 7,691 "," 8,111 "," 7,393 "," 7,172 "," 7,447 "," 6,865 "," 5,972 "," 4,779 "," 3,175 "," 3,868 "," 69,323 ",,,,,,,,,,,,,,,,,
Female, 25 , 519 ," 2,893 "," 3,907 "," 4,152 "," 3,758 "," 3,632 "," 3,771 "," 3,411 "," 3,031 "," 2,309 "," 1,458 "," 1,882 "," 34,748 ",,,,,,,,,,,,,,,,,
Male, 12 , 498 ," 2,900 "," 3,783 "," 3,958 "," 3,635 "," 3,540 "," 3,676 "," 3,453 "," 2,941 "," 2,470 "," 1,717 "," 1,986 "," 34,569 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 3 , 1 , 1 , - , - , - , 1 , - , - , - , - , 6 ,,,,,,,,,,,,,,,,,
Solomon, 45 ," 1,352 "," 5,832 "," 7,690 "," 8,085 "," 7,338 "," 6,679 "," 6,715 "," 6,127 "," 5,626 "," 4,584 "," 3,586 "," 4,873 "," 68,532 ",,,,,,,,,,,,,,,,,
Female, 26 , 641 ," 2,845 "," 3,668 "," 3,887 "," 3,633 "," 3,232 "," 3,265 "," 3,003 "," 2,691 "," 2,188 "," 1,676 "," 2,369 "," 33,124 ",,,,,,,,,,,,,,,,,
