"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Casey","28",1568
"Persons, Place of Usual Residence","Australian","Casey","29",1522
"Persons, Place of Usual Residence","Australian","Casey","30",1609
"Persons, Place of Usual Residence","Australian","Chisholm","15",1374
"Persons, Place of Usual Residence","Australian","Chisholm","16",1344
"Persons, Place of Usual Residence","Australian","Chisholm","17",1428
"Persons, Place of Usual Residence","Australian","Chisholm","18",1642
"Persons, Place of Usual Residence","Australian","Chisholm","19",2012
"Persons, Place of Usual Residence","Australian","Chisholm","20",1941
"Persons, Place of Usual Residence","Australian","Chisholm","21",1824
"Persons, Place of Usual Residence","Australian","Chisholm","22",1719
"Persons, Place of Usual Residence","Australian","Chisholm","23",1491
"Persons, Place of Usual Residence","Australian","Chisholm","24",1412
"Persons, Place of Usual Residence","Australian","Chisholm","25",1350
"Persons, Place of Usual Residence","Australian","Chisholm","26",1256
"Persons, Place of Usual Residence","Australian","Chisholm","27",1267
"Persons, Place of Usual Residence","Australian","Chisholm","28",1208
"Persons, Place of Usual Residence","Australian","Chisholm","29",1155
"Persons, Place of Usual Residence","Australian","Chisholm","30",1169
"Persons, Place of Usual Residence","Australian","Corangamite","15",1688
"Persons, Place of Usual Residence","Australian","Corangamite","16",1660
"Persons, Place of Usual Residence","Australian","Corangamite","17",1702
"Persons, Place of Usual Residence","Australian","Corangamite","18",1719
"Persons, Place of Usual Residence","Australian","Corangamite","19",1678
"Persons, Place of Usual Residence","Australian","Corangamite","20",1704
"Persons, Place of Usual Residence","Australian","Corangamite","21",1706
"Persons, Place of Usual Residence","Australian","Corangamite","22",1552
"Persons, Place of Usual Residence","Australian","Corangamite","23",1398
"Persons, Place of Usual Residence","Australian","Corangamite","24",1384
"Persons, Place of Usual Residence","Australian","Corangamite","25",1315
"Persons, Place of Usual Residence","Australian","Corangamite","26",1387
"Persons, Place of Usual Residence","Australian","Corangamite","27",1355
"Persons, Place of Usual Residence","Australian","Corangamite","28",1359
"Persons, Place of Usual Residence","Australian","Corangamite","29",1425
"Persons, Place of Usual Residence","Australian","Corangamite","30",1499
"Persons, Place of Usual Residence","Australian","Corio","15",1561
"Persons, Place of Usual Residence","Australian","Corio","16",1681
"Persons, Place of Usual Residence","Australian","Corio","17",1763
"Persons, Place of Usual Residence","Australian","Corio","18",1636
